match_id,current_score,display_score,period_1,period_2,period_3,period_4,period_5,period_1_tie_break,period_2_tie_break,period_3_tie_break,period_4_tie_break,period_5_tie_break,normal_time
12002051,1,1,3,7,4,,,,,,,,
12002053,2,2,6,6,,,,,,,,,
12002055,2,2,3,6,7,,,,,9,,,
12002057,2,2,6,6,,,,,,,,,
12002058,2,2,6,3,6,,,,,,,,
12002059,2,2,6,6,,,,,,,,,
12002060,2,2,1,6,7,,,,,7,,,
12002061,0,0,3,2,,,,,,,,,
12002064,0,0,3,3,,,,,,,,,
12002065,0,0,0,6,,,,,3,,,,
12002066,2,2,6,7,,,,,7,,,,
12002067,0,0,3,2,,,,,,,,,
12002068,0,0,2,6,,,,,8,,,,
12002072,1,1,7,6,6,,,,4,6,,,
12002078,3,3,,,,,,,,,,,
12002102,4,4,,,,,,,,,,,
12002109,0,0,,,,,,,,,,,
12002112,1,1,,,,,,,,,,,
12017513,0,0,1,4,,,,,,,,,
12017514,0,0,6,3,,,,2,,,,,
12018899,2,2,3,6,6,,,,,,,,
12019043,1,1,6,6,2,,,,2,,,,
12019658,0,0,2,3,,,,,,,,,
12020048,0,0,2,1,,,,,,,,,
12021512,,,,,,,,,,,,,
12021513,,,,,,,,,,,,,
12021514,,,,,,,,,,,,,
12021515,,,,,,,,,,,,,
12021516,1,1,3,7,4,,,,7,,,,
12021538,1,1,7,6,1,,,,3,,,,
12021658,0,0,2,4,,,,,,,,,
12022282,2,2,6,6,,,,,,,,,
12022321,1,1,3,6,6,,,,,10,,,
12022492,2,2,4,6,6,,,,,,,,
12022526,2,2,3,7,6,,,,7,,,,
12022528,,,,,,,,,,,,,
12022562,0,0,1,4,,,,,,,,,
12022672,2,2,5,7,6,,,,7,,,,
12022675,0,0,2,2,,,,,,,,,
12022685,0,0,3,6,,,,,5,,,,
12022703,2,2,6,6,,,,,,,,,
12022718,1,1,3,7,4,,,,7,,,,
12022727,1,1,7,3,1,,,,,,,,
12022801,2,2,6,6,,,,,,,,,
12022802,0,0,3,0,,,,,,,,,
12023335,2,2,6,3,7,,,,,,,,
12023340,2,2,6,6,,,,,,,,,
12023348,2,2,6,6,,,,,,,,,
12023349,2,2,5,6,6,,,,,,,,
12023350,2,2,7,6,6,,,,3,,,,
12023351,0,0,3,4,,,,,,,,,
12023352,2,2,6,6,,,,,,,,,
12023353,1,1,6,3,0,,,,,,,,
12023354,,,,,,,,,,,,,
12023355,2,2,6,3,6,,,,,,,,
12023356,0,0,2,2,,,,,,,,,
12023358,,,,,,,,,,,,,
12023359,,,,,,,,,,,,,
12023360,,,,,,,,,,,,,
12023361,,,,,,,,,,,,,
12023362,2,2,6,6,,,,,,,,,
12023461,1,1,4,6,4,,,,,,,,
12023462,1,1,6,0,2,,,,,,,,
12023465,1,1,6,,,,,,,,,,
12023470,2,2,6,4,7,,,,,12,,,
12024039,,,,,,,,,,,,,
12024040,,,,,,,,,,,,,
12024041,0,0,2,1,,,,,,,,,
12024042,,,,,,,,,,,,,
12024043,0,0,3,1,,,,,,,,,
12024064,1,1,6,7,2,,,2,,,,,
12024149,0,0,5,2,,,,,,,,,
12024225,2,2,6,6,,,,,,,,,
12024226,2,2,6,7,,,,,8,,,,
12024231,1,1,6,6,4,,,,2,,,,
12024232,0,0,3,4,,,,,,,,,
12024233,,,,,,,,,,,,,
12024234,,,,,,,,,,,,,
12024235,2,2,6,7,,,,,7,,,,
12024236,0,0,1,4,,,,,,,,,
12024239,2,2,6,6,,,,,,,,,
12024240,2,2,6,5,6,,,,,,,,
12024242,2,2,6,7,7,,,4,7,,,,
12024243,1,1,1,6,0,,,,,,,,
12024245,1,1,6,6,6,,,5,,5,,,
12024248,0,0,1,4,,,,,,,,,
12024249,2,2,7,6,,,,7,,,,,
12024252,2,2,7,6,,,,,,,,,
12024254,0,0,3,3,,,,,,,,,
12024307,0,0,4,3,,,,,,,,,
12024308,0,0,1,4,,,,,,,,,
12024355,0,0,2,3,,,,,,,,,
12024356,1,1,6,1,,,,,,,,,
12024365,0,0,1,4,,,,,,,,,
12024368,2,2,7,7,,,,7,7,,,,
12024369,0,0,4,6,,,,,3,,,,
12024370,,,,,,,,,,,,,
12024371,0,0,6,5,,,,5,,,,,
12024386,2,2,7,6,,,,,,,,,
12024387,2,2,4,7,7,,,,8,8,,,
12024388,,,,,,,,,,,,,
12024389,,,,,,,,,,,,,
12024390,,,,,,,,,,,,,
12024426,,,,,,,,,,,,,
12024430,0,0,3,1,,,,,,,,,
12024431,0,0,2,2,,,,,,,,,
12024435,2,2,7,6,,,,7,,,,,
12024440,0,0,6,3,,,,4,,,,,
12024489,2,2,6,6,,,,,,,,,
12024510,0,0,2,5,,,,,,,,,
12024512,2,2,4,6,6,,,,,,,,
12024513,1,1,6,4,2,,,,,,,,
12024514,0,0,3,6,,,,,5,,,,
12024550,2,2,6,6,,,,,,,,,
12024555,0,0,3,6,,,,,3,,,,
12024556,2,2,6,7,,,,,,,,,
12024557,0,0,2,6,,,,,4,,,,
12024559,,,,,,,,,,,,,
12024572,2,2,7,7,,,,7,7,,,,
12024613,0,0,6,2,,,,2,,,,,
12024614,1,1,6,2,0,,,,,,,,
12024615,,,,,,,,,,,,,
12024617,,,,,,,,,,,,,
12024628,2,2,7,6,,,,,,,,,
12024632,2,2,6,6,,,,,,,,,
12024637,2,2,7,6,,,,,,,,,
12024640,2,2,6,6,,,,,,,,,
12024641,2,2,6,6,,,,,,,,,
12024642,,,,,,,,,,,,,
12024643,0,0,3,2,,,,,,,,,
12024644,1,1,6,7,2,,,3,,,,,
12024645,0,0,4,2,,,,,,,,,
12024652,0,0,1,3,,,,,,,,,
12024769,0,0,1,3,,,,,,,,,
12024782,2,2,6,6,,,,,,,,,
12024794,2,2,6,6,,,,,,,,,
12024837,2,2,6,6,,,,,,,,,
12024838,,,,,,,,,,,,,
12024840,2,2,6,6,,,,,,,,,
12024913,2,2,6,6,,,,,,,,,
12024934,0,0,6,3,,,,3,,,,,
12024935,1,1,4,6,4,,,,,,,,
12025016,2,2,6,7,,,,,,,,,
12025030,2,2,6,2,6,,,,,,,,
12025044,1,1,7,5,4,,,,,,,,
12025056,2,2,7,6,,,,7,,,,,
12025057,0,0,1,3,,,,,,,,,
12025061,1,1,7,5,0,,,7,,,,,
12025067,2,2,6,6,,,,,,,,,
12025085,2,2,6,7,6,,,7,7,,,,
12025130,2,2,6,6,,,,,,,,,
12025132,2,2,6,6,,,,,,,,,
12025133,2,2,2,6,6,,,,,,,,
12025138,2,2,6,6,,,,,,,,,
12025139,2,2,6,6,,,,,,,,,
12025142,2,2,7,6,,,,7,,,,,
12025144,2,2,6,6,6,,,,5,,,,
12025149,0,0,1,6,,,,,3,,,,
12025174,0,0,1,3,,,,,,,,,
12025672,1,1,7,2,4,,,7,,,,,
12025679,0,0,6,4,,,,3,,,,,
12025684,0,0,3,5,,,,,,,,,
12025685,0,0,4,4,,,,,,,,,
12025687,2,2,3,6,7,,,,,7,,,
12025690,2,2,6,6,,,,,,,,,
12025752,0,0,5,0,,,,,,,,,
12025799,,,,,,,,,,,,,
12025849,2,2,7,4,6,,,7,,,,,
12026470,1,1,4,7,2,,,,7,,,,
12026623,2,2,2,6,6,,,,,,,,
12026792,0,0,4,4,,,,,,,,,
12026797,0,0,4,6,,,,,4,,,,
12026852,0,0,3,2,,,,,,,,,
12026853,0,0,5,6,,,,,2,,,,
12026855,0,0,5,3,,,,,,,,,
12026857,1,1,7,6,0,,,7,4,,,,
12026875,1,1,3,6,5,,,,,,,,
12026878,2,2,6,6,,,,,,,,,
12026987,0,0,2,6,,,,,1,,,,
12027048,0,0,2,0,,,,,,,,,
12027058,1,1,6,3,4,,,,,,,,
12027148,1,1,6,5,4,,,,,,,,
12027491,1,1,7,6,2,,,,2,,,,
12027494,0,0,3,6,,,,,3,,,,
12027516,0,0,1,4,,,,,,,,,
12027519,2,2,6,6,,,,,,,,,
12027535,0,0,6,3,,,,6,,,,,
12027539,0,0,1,2,,,,,,,,,
12027541,1,1,4,6,4,,,,,,,,
12027547,2,2,6,6,,,,,,,,,
12027611,2,2,6,6,,,,,,,,,
12027640,,,,,,,,,,,,,
12027641,,,,,,,,,,,,,
12027643,1,1,6,3,2,,,,,,,,
12027644,0,0,1,6,,,,,2,,,,
12027645,0,0,2,3,,,,,,,,,
12027646,2,2,6,6,,,,,,,,,
12027647,0,0,2,3,,,,,,,,,
