match_id,set_num,game_num,value,break_occurred
11998456,3,8,-10.0,False
11998456,3,9,-77.68,True
11998456,3,10,-56.26,False
11998459,1,1,26.8,False
11998459,1,2,-10.0,False
11998459,1,3,10.0,False
11998459,1,4,-10.0,False
11998459,1,5,10.0,False
11998459,1,6,17.74,True
11998459,1,7,-78.1,True
11998459,1,8,-11.0,False
11998459,1,9,49.24,False
11998459,1,10,-40.04,False
11998459,1,11,55.16,False
11998459,1,12,10.0,True
11998459,2,1,12.6,False
11998459,2,2,41.82,True
11998459,2,3,37.18,False
11998459,2,4,-13.58,False
11998459,2,5,32.7,False
11998459,2,6,-51.62,False
11998459,2,7,10.0,False
11998459,2,8,28.94,True
11998666,1,1,10.0,False
11998666,1,2,-28.2,False
11998666,1,3,10.0,False
11998666,1,4,-10.0,False
11998666,1,5,54.4,False
11998666,1,6,-18.6,False
11998666,1,7,-27.0,True
11998666,1,8,-16.2,False
11998666,1,9,46.8,False
11998666,1,10,-51.0,False
11998666,2,1,-55.0,True
11998666,2,2,-16.0,False
11998666,2,3,10.0,False
11998666,2,4,54.0,True
11998666,2,5,15.0,False
11998666,2,6,-42.2,False
11998666,2,7,10.0,False
11998666,2,8,-40.0,False
11998666,2,9,10.0,False
11998666,2,10,-67.0,False
11998666,2,11,56.4,False
11998666,2,12,-10.0,False
11998666,2,13,-50.0,False
11998667,1,1,-10.0,False
11998667,1,2,12.4,False
11998667,1,3,-27.0,False
11998667,1,4,25.8,False
11998667,1,5,-24.0,False
11998667,1,6,30.0,False
11998667,1,7,-10.0,False
11998667,1,8,-30.0,True
11998667,1,9,-45.8,False
11998667,2,1,36.0,False
11998667,2,2,-21.8,False
11998667,2,3,30.4,False
11998667,2,4,-10.0,False
11998667,2,5,10.0,False
11998667,2,6,10.0,True
11998667,2,7,25.0,False
11998667,2,8,-50.6,False
11998667,2,9,10.0,False
11998667,3,1,20.0,True
11998667,3,2,10.0,False
11998667,3,3,-25.6,False
11998667,3,4,10.0,False
11998667,3,5,-57.6,False
11998667,3,6,45.4,False
11998667,3,7,-29.0,False
11998667,3,8,16.0,False
11998667,3,9,-57.6,False
11998667,3,10,10.0,False
11998670,1,1,12.0,True
11998670,1,2,-30.6,True
11998670,1,3,28.8,True
11998670,1,4,10.0,False
11998670,1,5,42.4,True
11998670,1,6,68.8,False
11998670,1,7,-10.0,False
11998670,1,8,10.4,False
11998670,2,1,-36.0,False
11998670,2,2,10.0,False
11998670,2,3,-61.4,False
11998670,2,4,18.0,False
11998670,2,5,-10.0,False
11998670,2,6,10.0,False
11998670,2,7,-14.2,False
11998670,2,8,25.6,False
11998670,2,9,-50.8,False
11998670,2,10,24.0,False
11998670,2,11,-12.0,False
11998670,2,12,10.0,False
11998670,2,13,-35.0,False
11998670,3,1,-20.0,True
11998670,3,2,-15.0,False
11998670,3,3,-41.2,True
11998670,3,4,-10.2,False
11998670,3,5,-24.2,True
11998670,3,6,14.4,True
11998670,3,7,10.0,False
11998670,3,8,-10.0,False
11998671,1,1,35.0,True
11998671,1,2,36.0,False
11998671,1,3,-10.0,False
11998671,1,4,-72.0,True
11998671,1,5,37.2,True
11998671,1,6,10.0,False
11998671,1,7,28.8,True
11998671,1,8,-51.6,True
11998671,1,9,12.6,True
11998671,2,1,29.0,False
11998671,2,2,-23.2,False
11998671,2,3,10.0,False
11998671,2,4,-29.0,False
11998671,2,5,50.0,False
11998671,2,6,81.0,True
11998671,2,7,29.8,False
11998671,2,8,-38.2,False
11998671,2,9,19.0,False
11998672,1,1,-11.0,False
11998672,1,2,26.8,False
11998672,1,3,-64.4,False
11998672,1,4,10.0,False
11998672,1,5,-25.2,False
11998672,1,6,10.0,False
11998672,1,7,-10.0,False
11998672,1,8,29.0,False
11998672,1,9,-49.0,False
11998672,1,10,10.0,False
11998672,1,11,45.0,True
11998672,1,12,-10.0,True
11998672,1,13,-10.0,False
11998672,2,1,10.0,False
11998672,2,2,74.4,True
11998672,2,3,18.4,False
11998672,2,4,-13.2,False
11998672,2,5,-40.0,True
11998672,2,6,-16.8,False
11998672,2,7,10.0,False
11998672,2,8,-24.6,False
11998672,2,9,10.0,False
11998672,2,10,-10.0,False
11998672,2,11,10.0,False
11998672,2,12,32.2,True
11998672,3,1,10.0,False
11998672,3,2,-10.0,False
11998672,3,3,54.0,False
11998672,3,4,-10.0,False
11998672,3,5,39.8,False
11998672,3,6,10.0,True
11998672,3,7,30.0,False
11998672,3,8,-10.0,False
11998672,3,9,58.0,False
11998674,1,1,10.0,False
11998674,1,2,-10.0,False
11998674,1,3,10.0,False
11998674,1,4,-10.0,False
11998674,1,5,28.2,False
11998674,1,6,-10.0,False
11998674,1,7,59.0,False
11998674,1,8,-10.0,False
11998674,1,9,64.0,False
11998674,1,10,-10.0,False
11998674,1,11,64.2,False
11998674,1,12,45.2,True
11998674,2,1,-18.0,True
11998674,2,2,-10.0,False
11998674,2,3,10.0,False
