match_id,market_id,market_name,is_live,suspended,initial_fractional_value,fractional_value,choice_name,choice_source_id,winnig,change
12191119,1,full_time,False,False,6/5,6/5,2,163153511,False,0
12191147,1,full_time,False,False,4/,4/,1,163355421,True,0
12191147,1,full_time,False,False,13/8,13/8,2,163355435,False,0
12191148,1,full_time,False,False,2/,2/,1,163354956,True,0
12191148,1,full_time,False,False,3/1,3/1,2,163355036,False,0
12191149,1,full_time,False,False,3/1,3/1,1,163341257,False,0
12191149,1,full_time,False,False,2/,2/,2,163341287,True,0
12191370,1,full_time,False,False,6/4,6/4,1,163677480,False,0
12191370,1,full_time,False,False,1/2,1/2,2,163677528,True,0
12191381,1,full_time,False,False,11/8,11/8,1,163762340,True,0
12191381,1,full_time,False,False,8/15,8/15,2,163762400,False,0
12191455,1,full_time,False,False,1/40,1/40,1,165321450,True,0
12191455,1,full_time,False,False,19/2,19/2,2,165321472,False,0
12191456,1,full_time,False,False,5/2,5/2,1,165323867,True,0
12191456,1,full_time,False,False,2/7,2/7,2,165323869,False,0
12191459,1,full_time,False,False,13/2,13/2,1,165320230,False,0
12191459,1,full_time,False,False,1/14,1/14,2,165320519,True,0
12191461,1,full_time,False,False,1/8,1/8,1,165319564,True,0
12191461,1,full_time,False,False,9/2,9/2,2,165319566,False,0
12191462,1,full_time,False,False,4/11,4/11,1,165320087,True,0
12191462,1,full_time,False,False,2/1,2/1,2,165320202,False,0
12191463,1,full_time,False,False,1/12,1/12,1,165319842,True,0
12191463,1,full_time,False,False,6/1,6/1,2,165319884,False,0
12191464,1,full_time,False,False,1/10,1/10,1,165320740,True,0
12191464,1,full_time,False,False,11/2,11/2,2,165320743,False,0
12191465,1,full_time,False,False,10/1,10/1,1,165323219,False,0
12191465,1,full_time,False,False,1/50,1/50,2,165323377,True,0
12191466,1,full_time,False,False,1/66,1/66,1,165322492,True,0
12191466,1,full_time,False,False,11/1,11/1,2,165322691,False,0
12191467,1,full_time,False,False,2/9,2/9,1,165320878,True,0
12191467,1,full_time,False,False,3/1,3/1,2,165321095,False,0
12191468,1,full_time,False,False,1/10,1/10,1,165323839,True,0
12191468,1,full_time,False,False,11/2,11/2,2,165323843,False,0
12191470,1,full_time,False,False,1/25,1/25,1,165320579,True,0
12191470,1,full_time,False,False,8/1,8/1,2,165320583,False,0
12191471,1,full_time,False,False,11/4,11/4,1,163818936,False,0
12191471,1,full_time,False,False,1/4,1/4,2,163819150,True,0
12191500,1,full_time,False,False,7/4,7/4,1,163874343,False,0
12191500,1,full_time,False,False,2/5,2/5,2,163874346,True,0
12191510,1,full_time,False,False,4/6,4/6,1,164083641,True,0
12191510,1,full_time,False,False,11/10,11/10,2,164083683,False,0
12191524,1,full_time,False,False,1/5,1/5,1,165014613,True,0
12191524,1,full_time,False,False,10/3,10/3,2,165014618,False,0
12191646,1,full_time,False,False,4/6,4/6,1,164959812,True,0
12191646,1,full_time,False,False,11/10,11/10,2,164959817,False,0
12191656,1,full_time,False,False,8/11,8/11,1,164959664,False,0
12191656,1,full_time,False,False,1/1,1/1,2,164959676,True,0
12191667,1,full_time,False,False,1/10,1/10,1,164959516,False,0
12191667,1,full_time,False,False,11/2,11/2,2,164959521,True,0
12191676,1,full_time,False,False,1/1,1/1,1,164959332,False,0
12191676,1,full_time,False,False,8/11,8/11,2,164959390,True,0
12191703,1,full_time,False,False,8/13,8/13,1,165022903,False,0
12191703,1,full_time,False,False,6/5,6/5,2,165022906,True,0
12191710,1,full_time,False,False,5/4,5/4,1,165022975,True,0
12191710,1,full_time,False,False,4/7,4/7,2,165022983,False,0
12191716,1,full_time,False,False,8/11,8/11,1,165022986,False,0
12191716,1,full_time,False,False,1/1,1/1,2,165022990,True,0
12191722,1,full_time,False,False,13/2,13/2,1,165023014,False,0
12191722,1,full_time,False,False,1/14,1/14,2,165023021,True,0
12191729,1,full_time,False,False,13/2,13/2,1,165024908,False,0
12191729,1,full_time,False,False,1/14,1/14,2,165024911,True,0
12191733,1,full_time,False,False,5/6,5/6,1,165024889,True,0
12191733,1,full_time,False,False,5/6,5/6,2,165024890,False,0
12191737,1,full_time,False,False,1/1,1/1,1,165023040,True,0
12191737,1,full_time,False,False,8/11,8/11,2,165023041,False,0
12191738,1,full_time,False,False,8/15,8/15,1,165024808,True,0
12191738,1,full_time,False,False,11/8,11/8,2,165024863,False,0
12191742,1,full_time,False,False,2/9,2/9,1,165023068,True,0
12191742,1,full_time,False,False,3/1,3/1,2,165023121,False,0
