match_id,period_1,period_2,period_3,period_4,period_5,current_period_start_timestamp
12023361,,,,,,
12023362,3611,3083,,,,1706847193
12023461,2740,2146,3292,,,1706854063
12023462,2157,1578,2040,,,1706836515
12023465,,,,,,1706849314
12023470,2573,2796,4552,,,1706837917
12024039,,,,,,
12024040,,,,,,
12024041,2717,1556,,,,1706868355
12024042,,,,,,
12024043,2289,2872,,,,1706873868
12024064,3330,2376,2062,,,1706854693
12024149,3547,2039,,,,1706858329
12024225,2498,2344,,,,1706860466
12024226,2100,4529,,,,1706955051
12024231,1328,3651,2433,,,1706961373
12024232,2300,3164,,,,1706867962
12024233,,,,,,
12024234,,,,,,
12024235,1625,3751,,,,1706874594
12024236,2514,2753,,,,1706865665
12024239,2003,1800,,,,1706892269
12024240,1904,2604,2194,,,1706956527
12024242,3198,2791,2935,,,1706968103
12024243,2094,2690,2447,,,1706862703
12024245,4564,3502,5138,,,1706961245
12024248,1805,3181,,,,1706865111
12024249,4721,3343,,,,1706871086
12024252,4919,2874,,,,1706862592
12024254,2484,2302,,,,1706863968
12024307,3421,3170,,,,1706868068
12024308,2153,3640,,,,1706859902
12024355,2968,1927,,,,1706952467
12024356,2588,500,,,,1706863923
12024365,1931,4012,,,,1706951896
12024368,3713,2932,,,,1706883493
12024369,2811,3279,,,,1706891156
12024370,,,,,,
12024371,3866,3210,,,,1706953401
12024386,2773,2846,,,,1706883826
12024387,3784,4650,3882,,,1706874757
12024388,,,,,,
12024389,,,,,,
12024390,,,,,,
12024426,,,,,,
12024430,3081,2202,,,,1706864589
12024431,3114,2963,,,,1706860978
12024435,3627,2403,,,,1706955309
12024440,2643,2262,,,,1706867420
12024489,2343,3220,,,,1706954205
12024510,2134,3160,,,,1706964391
12024512,2099,1808,2548,,,1706902993
12024513,2557,3303,2165,,,1706976263
12024514,2116,4411,,,,1706893030
12024550,,,,,,
12024555,2183,2906,,,,1706964294
12024556,2554,3408,,,,1706893264
12024557,2046,3437,,,,1706885464
12024559,,,,,,
12024572,5122,4765,,,,1706866418
12024613,3348,2018,,,,1706886687
12024614,2857,2218,1883,,,1706895425
12024615,,,,,,
12024617,,,,,,
12024628,2594,2893,,,,1706867066
12024632,2351,2767,,,,1706863866
12024637,2792,1795,,,,1706896908
12024640,1516,1351,,,,1706902176
12024641,1279,1782,,,,1706966928
12024642,,,,,,
12024643,2323,2379,,,,1706816220
12024644,3257,3002,1921,,,1706887634
12024645,3258,3624,,,,1706866720
12024652,1967,1791,,,,1706863428
12024769,2289,2193,,,,1706872618
12024782,2209,1525,,,,1706874201
12024794,2720,1768,,,,1706953493
12024837,2021,1992,,,,1706896141
12024838,,,,,,
12024840,2044,1596,,,,1706890784
12024913,2086,3750,,,,1706869845
12024934,4273,2340,,,,1706899648
12024935,2713,1625,2767,,,1706908749
12025016,2950,3952,,,,1706875974
12025030,1614,2634,3243,,,1706877035
12025044,2966,2789,2010,,,1706891730
12025056,3322,3131,,,,1706873824
12025057,1847,2396,,,,1706878337
12025061,4105,3560,1551,,,1706902396
12025067,2252,1942,,,,1706889881
12025085,3216,2861,3041,,,1706881844
12025130,1315,1560,,,,1706902277
12025132,2609,1605,,,,1706897366
12025133,3616,2973,2580,,,1706896528
12025138,3724,2765,,,,1706920344
12025139,2160,3285,,,,1706911457
12025142,4119,2313,,,,1706901390
12025144,2225,3431,1943,,,1706885028
12025149,1749,4750,,,,1706891919
12025174,2093,2657,,,,1706901968
12025672,7178,1885,2032,,,1706867004
12025679,4273,2309,,,,1706921264
12025684,2717,3427,,,,1706947871
12025685,2640,3079,,,,1706940106
12025687,1985,2533,3879,,,1706946650
12025690,2180,1414,,,,1706954568
12025752,3391,1696,,,,1706920472
12025799,,,,,,
12025849,3301,3551,2945,,,1706942150
12026470,2511,3834,2150,,,1706952890
12026623,1882,1831,2303,,,1706951440
12026792,2709,2022,,,,1706950360
12026797,2296,2981,,,,1706950013
12026852,2516,2242,,,,1706963938
12026853,4077,3410,,,,1706955838
12026855,2463,5728,,,,1706952299
12026857,2405,3195,1554,,,1706946442
12026875,1615,1769,3465,,,1706958946
12026878,2488,3008,,,,1706966615
12026987,2873,4299,,,,1706952648
12027048,2550,1885,,,,1706952544
12027058,3098,2304,3100,,,1706968331
12027148,2027,3452,3434,,,1706953407
12027491,3684,4677,2577,,,1706956274
12027494,2711,4568,,,,1706950581
12027516,2244,2618,,,,1706961868
12027519,2022,2196,,,,1706968923
12027535,3980,2424,,,,1706966760
12027539,2286,2669,,,,1706950192
12027541,3160,3219,2961,,,1706972936
12027547,1945,2372,,,,1706971507
12027611,3042,3447,,,,1706950916
12027640,,,,,,
12027641,,,,,,
12027643,2045,2341,2033,,,1706953499
12027644,2314,3946,,,,1706946578
12027645,2402,2341,,,,1706951577
12027646,3353,3932,,,,1706961310
12027647,1928,2385,,,,1706958314
12027648,1402,1893,2474,,,1706954738
12027649,2165,1366,2067,,,1706958290
12027651,1444,1876,,,,1706962446
12027652,2069,1278,,,,1706967903
12027653,1827,2111,3947,,,1706966232
12027654,3299,2655,1853,,,1706971554
12027665,1976,2383,,,,1706940847
12027666,2477,1892,,,,1706946527
12027667,,,,,,1706953414
12027668,1581,1735,,,,1706950962
12027669,3399,1859,4253,,,1706944260
12027672,3047,4245,2414,,,1706965562
12027673,1733,1616,,,,1706955847
12027674,2118,1835,,,,1706951529
12027677,3053,3241,1935,,,1706961631
12027678,2469,2338,2468,,,1706952070
12027679,2114,3029,2285,,,1706944108
12027680,1886,1690,,,,1706960452
12027726,2639,2134,1931,,,1706891409
12027906,3689,2149,,,,1706973742
12027950,3353,2753,,,,1706965276
12027973,2514,2208,,,,1706950200
12027974,,,,,,
12027975,1559,2137,,,,1706959258
12027978,3549,3924,,,,1706965907
12027980,1842,2018,,,,1706959692
12027981,2983,3429,2758,,,1706954124
12027982,1353,1850,,,,1706964007
12027984,1845,2072,,,,1706968554
12028119,2213,2324,,,,1706897784
12028146,1966,1636,,,,1706969029
12028542,1835,2260,,,,1706964061
12028737,2294,2622,4744,,,1706920232
12029386,1613,2504,,,,1706934162
12029395,4377,2604,,,,1706932575
12029459,2286,1685,2799,,,1706948383
12029551,3046,2847,,,,1706950729
